gauge_id,month_type,lat,long,elev_m,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,label
G1,flooded,35.979592,-83.913512,273,0.00,0.00,0.00,0.01,0.00,0.51,0.00,0.37,0.00,0.40,0.42,1.66,0.00,0.00,0.26,0.33,1.35,0.22,0.90,0.80,0.27,0.29,5.31,0.49,0.00,0.00,0.00,0.19,,,,1
G2,flooded,35.97027,-83.882057,258,0.03,0.00,0.00,0.01,0.00,0.46,0.00,0.41,0.00,0.36,0.40,1.56,0.00,0.00,0.23,0.37,1.36,0.24,0.92,0.84,0.39,0.36,5.38,0.46,0.00,0.00,0.00,0.22,,,,1
G3,flooded,36.008408,-83.838637,257,,,,0.00,0.00,0.51,0.06,0.34,0.00,0.53,0.44,1.45,0.00,0.00,0.33,0.32,1.43,0.11,1.07,0.70,0.38,0.36,4.91,0.42,0.00,0.00,0.00,0.23,,,,1
G4,flooded,35.954928,-83.948186,258,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.47,0.00,0.38,0.47,1.91,0.00,0.00,,,,,0.84,0.77,0.23,0.27,5.45,0.47,0.00,0.00,0.00,0.23,,,,1
G5,flooded,35.929786,-84.000532,263,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.44,0.00,0.37,0.38,1.54,0.00,0.00,0.29,0.32,1.37,0.20,0.93,0.96,0.28,0.31,6.36,0.51,0.00,0.00,0.00,0.34,,,,1
G6,flooded,36.025416,-83.931404,296,0.00,0.00,0.00,0.02,0.00,0.53,0.27,0.05,0.07,0.40,0.33,1.43,0.12,0.00,0.17,0.30,0.87,0.42,0.76,0.83,0.20,0.37,4.23,0.58,0.00,0.00,0.00,0.19,,,,1
G7,flooded,36.039055,-83.922113,306,0.00,0.00,0.00,0.01,0.00,1.55,0.01,0.31,0.00,0.44,0.43,1.72,0.00,0.00,0.21,0.40,1.54,0.22,0.98,1.04,0.26,0.51,4.95,0.75,0.00,0.00,0.00,0.15,,,,1
G8,flooded,35.960165,-83.91627,275,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.28,0.00,0.23,0.31,1.20,0.00,0.00,0.18,0.26,1.04,0.16,0.73,0.68,0.23,0.24,4.35,0.36,0.00,0.00,0.00,0.19,,,,1
G1,non_flooded,35.979592,-83.913512,273,0.01,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.01,0.58,0.17,0.10,1.42,0.77,1.65,0.52,0.00,0.00,1.53,0.05,1.52,0.26,0
G2,non_flooded,35.97027,-83.882057,258,0.01,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.07,0.11,0.01,1.26,0.40,0.13,2.00,0.18,0.40,0.40,0.00,0.00,1.45,0.07,1.13,0.19,0
G3,non_flooded,36.008408,-83.838637,257,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.15,0.01,0.36,0.36,0.59,1.72,0.36,1.06,0.26,0.00,0.00,1.32,0.29,1.36,0.26,0
G4,non_flooded,35.954928,-83.948186,258,0.00,0.00,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.90,0.04,0.01,1.05,0.15,0.70,,,,,,,,0
G5,non_flooded,35.929786,-84.000532,263,0.00,0.00,0.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.22,0.04,0.00,1.35,0.03,0.00,1.38,0.04,1.02,2.25,0.00,0.00,1.52,0.59,3.34,0.20,0
G6,non_flooded,36.025416,-83.931404,296,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.04,0.02,0.01,0.22,0.22,0.85,0.09,0.49,0.24,0.00,0.00,1.72,0.04,0.89,0.27,0
G7,non_flooded,36.039055,-83.922113,306,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.26,0.03,0.00,0.11,0.16,1.15,0.12,0.40,0.27,0.00,0.00,2.38,0.02,1.83,0.45,0
G8,non_flooded,35.960165,-83.91627,275,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.00,0.48,0.11,0.01,0.81,0.05,0.50,0.38,0.00,0.00,0.91,0.01,1.02,0.21,0
